0 22  0.210161 0.53249   -446 5.92562
100 1899  1.52488 733.557   -1.0475e+06 41611.3
200 2582  2.07619 1697.79   -1.72552e+06 62944.6
300 2982  2.40026 2438.46   -2.16467e+06 75664.3
400 3193  2.8562 3060.75   -2.39526e+06 80581.7
500 3375  2.95082 3609.78   -2.60951e+06 86282
600 3531  3.09627 4068.46   -2.78937e+06 90240
700 3651  3.16046 4501.59   -2.93255e+06 93381.2
800 3762  3.67279 4922.48   -3.06677e+06 96447.9
900 3864  3.67279 5287.88   -3.19148e+06 99091.9
1000 3937  3.87353 5613.69   -3.28182e+06 102155
1100 4001  4.02206 5966.98   -3.35568e+06 103662
1200 4083  4.16523 6277.38   -3.45486e+06 106037
1300 4144  4.16523 6567.33   -3.52945e+06 107827
1400 4189  4.16523 6856.82   -3.58614e+06 108838
1500 4233  4.16523 7109.81   -3.63613e+06 109818
1600 4276  4.16523 7364.06   -3.69894e+06 111370
1700 4325  4.16707 7617.05   -3.75861e+06 112393
1800 4370  4.38449 7857.91   -3.81012e+06 113220
1900 4407  4.50478 8081.87   -3.85744e+06 114253
2000 4454  4.50478 8298.9   -3.91798e+06 115472
2100 4487  4.54743 8492.76   -3.9635e+06 116513
2200 4523  4.61551 8680.7   -4.01173e+06 117362
2300 4561  4.61551 8862.17   -4.05906e+06 118310
2400 4594  4.61551 9028.88   -4.10156e+06 119097
2500 4628  4.62481 9190.37   -4.14859e+06 119795
2600 4652  4.62481 9344.89   -4.17735e+06 120223
2700 4673  4.62481 9494.15   -4.2045e+06 120863
2800 4702  4.62481 9643.95   -4.24313e+06 121657
2900 4733  4.62481 9807.57   -4.27802e+06 122195
3000 4772  4.82839 9980.32   -4.32492e+06 123151
3100 4797  4.82839 10137.7   -4.3562e+06 123665
3200 4823  4.84905 10289.9   -4.38775e+06 124132
3300 4841  4.85235 10423.8   -4.41011e+06 124412
3400 4869  4.85235 10554.6   -4.44851e+06 124905
3500 4910  4.85235 10679.6   -4.50025e+06 125929
3600 4936  4.85235 10801.5   -4.53453e+06 126552
3700 4961  4.85235 10915.8   -4.56572e+06 127177
3800 4986  4.9565 11029.3   -4.59833e+06 127738
3900 5010  4.9565 11126.6   -4.62923e+06 128329
4000 5035  4.9565 11232.4   -4.65822e+06 128672
4100 5056  4.98694 11322.5   -4.68766e+06 129133
4200 5077  4.98694 11428.3   -4.71768e+06 129675
4300 5104  4.98694 11528   -4.75275e+06 130275
4400 5125  4.98694 11617.2   -4.78055e+06 131028
4500 5151  4.98694 11711.5   -4.81226e+06 131558
4600 5176  4.98694 11800.8   -4.84161e+06 131927
4700 5197  4.98694 11881.6   -4.86719e+06 132497
4800 5213  4.98694 11968.7   -4.88711e+06 132859
4900 5225  5.12922 12054.2   -4.90402e+06 133240
5000 5237  5.12922 12141.8   -4.9184e+06 133502
5100 5247  5.12922 12222   -4.92959e+06 133709
5200 5266  5.12922 12310.4   -4.95497e+06 134308
5300 5285  5.12922 12405.2   -4.98267e+06 134928
5400 5298  5.12922 12488   -4.99833e+06 135111
5500 5311  5.12922 12555.3   -5.01392e+06 135518
5600 5322  5.12922 12627.5   -5.02753e+06 135638
5700 5327  5.12922 12701.3   -5.03262e+06 135824
5800 5339  5.12922 12786.9   -5.05074e+06 136125
5900 5348  5.12922 12856.4   -5.06456e+06 136174
6000 5362  5.12922 12925.5   -5.08544e+06 136679
6100 5376  5.12922 12987.9   -5.10097e+06 136996
6200 5384  5.12922 13050.2   -5.11088e+06 137121
6300 5396  5.37912 13105.2   -5.12615e+06 137468
6400 5409  5.37912 13179.4   -5.14214e+06 137848
6500 5416  5.37912 13235.7   -5.15125e+06 137951
6600 5427  5.37912 13297.4   -5.1678e+06 138227
6700 5436  5.37912 13363.9   -5.17868e+06 138360
6800 5449  5.37912 13422.9   -5.19616e+06 138627
6900 5458  5.37912 13478.2   -5.21213e+06 138942
7000 5469  5.37912 13539.8   -5.22687e+06 139147
7100 5482  5.37912 13597.4   -5.24298e+06 139449
7200 5488  5.37912 13643.9   -5.25114e+06 139690
7300 5499  5.37912 13696.3   -5.26582e+06 139903
7400 5508  5.37912 13754.1   -5.27547e+06 140167
7500 5525  5.37912 13811.2   -5.29962e+06 140675
7600 5532  5.37912 13872.2   -5.31153e+06 140952
7700 5539  5.37912 13922.6   -5.32149e+06 141054
7800 5544  5.37912 13970.1   -5.32904e+06 141111
7900 5558  5.37912 14025.8   -5.34714e+06 141436
8000 5563  5.37912 14072.7   -5.35636e+06 141591
8100 5575  5.37912 14128.7   -5.37496e+06 141798
8200 5589  5.37912 14186.6   -5.3944e+06 142007
8300 5592  5.37912 14227.7   -5.39825e+06 142008
8400 5598  5.37912 14285.8   -5.40764e+06 142131
8500 5605  5.37912 14339.9   -5.41768e+06 142148
8600 5618  5.37912 14394.6   -5.43327e+06 142301
8700 5628  5.37912 14443   -5.4439e+06 142546
8800 5636  5.37912 14486.4   -5.4541e+06 142741
8900 5642  5.37912 14533.8   -5.46309e+06 142929
9000 5648  5.37912 14578   -5.47096e+06 143058
9100 5652  5.37912 14613.9   -5.47748e+06 143107
9200 5660  5.37912 14664.9   -5.48823e+06 143262
9300 5667  5.37912 14712.2   -5.49799e+06 143481
9400 5675  5.37912 14753.6   -5.50878e+06 143681
9500 5685  5.37912 14797.1   -5.52331e+06 143941
9600 5690  5.37912 14835.2   -5.52959e+06 144017
9700 5703  5.37912 14879.6   -5.54732e+06 144271
9800 5709  5.37912 14916.3   -5.55538e+06 144366
9900 5715  5.37912 14961.4   -5.56367e+06 144457
10000 5720  5.37912 15002.8   -5.5702e+06 144595
10100 5729  5.37912 15042.3   -5.58067e+06 144827
10200 5735  5.37912 15078.9   -5.58882e+06 144819
10300 5738  5.37912 15113.4   -5.59233e+06 144866
10400 5743  5.37912 15156.5   -5.59868e+06 144928
10500 5750  5.38938 15196.1   -5.60883e+06 145124
10600 5757  5.38938 15234.5   -5.62016e+06 145169
10700 5763  5.42778 15278.6   -5.62724e+06 145270
10800 5771  5.42778 15325.2   -5.63723e+06 145460
10900 5777  5.42778 15366.8   -5.64582e+06 145516
11000 5784  5.42778 15410.9   -5.65478e+06 145592
11100 5789  5.42778 15442   -5.66066e+06 145681
11200 5792  5.42778 15485.7   -5.66352e+06 145738
11300 5796  5.42778 15522.3   -5.669e+06 145920
11400 5802  5.42778 15560.8   -5.67788e+06 146088
11500 5803  5.42924 15595.4   -5.67887e+06 146118
11600 5807  5.42924 15632   -5.68274e+06 146237
11700 5811  5.42924 15663.8   -5.68772e+06 146281
11800 5818  5.42924 15702.5   -5.69719e+06 146538
11900 5823  5.42924 15742.6   -5.70377e+06 146719
12000 5827  5.42924 15777.7   -5.70799e+06 146791
12100 5830  5.42924 15813.2   -5.7121e+06 146861
12200 5835  5.42924 15845.9   -5.71778e+06 146957
12300 5842  5.42924 15876.8   -5.72625e+06 147049
12400 5850  5.42924 15910.7   -5.73756e+06 147203
12500 5852  5.42924 15945.9   -5.73955e+06 147261
12600 5856  5.42924 15973.1   -5.7456e+06 147353
12700 5860  5.56679 16009.3   -5.74987e+06 147414
12800 5866  5.56679 16039   -5.75712e+06 147480
12900 5872  5.56679 16081.7   -5.76653e+06 147685
13000 5878  5.56679 16118.1   -5.77341e+06 147807
13100 5883  5.56679 16146.4   -5.77954e+06 147828
13200 5888  5.59717 16183.1   -5.78658e+06 147913
13300 5892  5.59717 16211.2   -5.79268e+06 147948
13400 5896  5.59717 16240.2   -5.79697e+06 148084
13500 5902  5.59717 16269.8   -5.80435e+06 148237
13600 5903  5.59717 16296.1   -5.80548e+06 148234
13700 5907  5.59717 16326.9   -5.81065e+06 148294
13800 5907  5.59717 16354.5   -5.81065e+06 148294
13900 5909  5.61723 16378.9   -5.81321e+06 148338
14000 5915  5.61723 16410.6   -5.82054e+06 148482
14100 5919  5.61723 16446.7   -5.82792e+06 148629
14200 5922  5.61723 16472.7   -5.83261e+06 148733
14300 5926  5.61723 16499.9   -5.83739e+06 148849
14400 5931  5.80966 16525.7   -5.84431e+06 148914
14500 5931  5.80966 16552.2   -5.84431e+06 148914
14600 5933  5.80966 16578.6   -5.84648e+06 148921
14700 5937  5.80966 16604.2   -5.85283e+06 148999
14800 5943  5.8482 16630.2   -5.86016e+06 149105
14900 5943  5.8482 16656.5   -5.86016e+06 149105
15000 5945  5.8482 16686   -5.8648e+06 149229
15100 5952  5.8482 16712.3   -5.87395e+06 149289
15200 5956  5.8482 16735   -5.87923e+06 149374
15300 5960  5.8482 16763.1   -5.88394e+06 149428
15400 5964  5.8482 16795.4   -5.88916e+06 149541
15500 5970  5.8482 16826.9   -5.89649e+06 149660
15600 5975  5.8482 16849.8   -5.90175e+06 149774
15700 5976  5.8482 16868.1   -5.90391e+06 149816
15800 5979  5.8482 16893.3   -5.90811e+06 149783
15900 5986  5.8482 16917.3   -5.91561e+06 149916
16000 5988  5.8482 16941.3   -5.91765e+06 149943
16100 5994  5.8482 16971.2   -5.92689e+06 150162
16200 5999  5.8482 16997   -5.93422e+06 150246
16300 6003  5.8482 17022.2   -5.93971e+06 150215
16400 6006  5.8482 17046.1   -5.94445e+06 150339
16500 6008  5.8482 17078.4   -5.94732e+06 150366
16600 6011  5.89121 17104.5   -5.95268e+06 150397
16700 6012  5.89121 17133.9   -5.95391e+06 150386
16800 6017  5.89121 17161   -5.96205e+06 150417
16900 6018  5.89121 17182.3   -5.96359e+06 150431
17000 6022  5.89121 17208   -5.96954e+06 150504
17100 6026  5.89121 17225.8   -5.97406e+06 150541
17200 6028  5.89121 17247.3   -5.97645e+06 150575
17300 6032  5.89121 17269   -5.98189e+06 150636
17400 6036  5.89121 17292.3   -5.98561e+06 150716
17500 6037  5.89121 17316.6   -5.98775e+06 150792
17600 6041  5.89121 17342.2   -5.99469e+06 150930
17700 6049  5.89121 17372.8   -6.0066e+06 151090
17800 6049  5.89121 17391.3   -6.0066e+06 151090
17900 6049  5.89121 17414.4   -6.0066e+06 151090
18000 6052  5.89121 17437.7   -6.01077e+06 151115
18100 6052  5.97025 17460   -6.01077e+06 151115
18200 6054  5.97025 17481.8   -6.01322e+06 151184
18300 6056  5.97025 17501.9   -6.01565e+06 151220
18400 6063  5.97025 17528.4   -6.02326e+06 151379
18500 6066  5.97025 17555.5   -6.02715e+06 151411
18600 6069  5.97025 17580.2   -6.03145e+06 151402
18700 6073  5.97025 17598.7   -6.03689e+06 151502
18800 6076  5.97025 17622.6   -6.04039e+06 151603
18900 6079  5.98925 17652.3   -6.04398e+06 151675
19000 6080  5.98925 17675.8   -6.04504e+06 151677
19100 6083  5.98925 17699.9   -6.04882e+06 151760
19200 6085  6.19943 17722.4   -6.05205e+06 151789
19300 6090  6.19943 17743.7   -6.05805e+06 151871
19400 6093  6.19943 17761.4   -6.06173e+06 151877
19500 6094  6.19943 17786.2   -6.06272e+06 151900
19600 6097  6.19943 17806.5   -6.06676e+06 152029
19700 6097  6.19943 17835.1   -6.06676e+06 152029
19800 6099  6.19943 17863.5   -6.0694e+06 152087
19900 6103  6.19943 17887.3   -6.07382e+06 152164
20000 6104  6.19943 17906.6   -6.07464e+06 152208
20100 6106  6.19943 17926.6   -6.07688e+06 152216
20200 6109  6.19943 17941.9   -6.07924e+06 152316
20300 6114  6.19943 17966.3   -6.0858e+06 152393
20400 6116  6.19943 17988.4   -6.0878e+06 152460
20500 6119  6.19943 18007.9   -6.09216e+06 152571
20600 6119  6.19943 18024.1   -6.09216e+06 152571
20700 6122  6.24014 18041.1   -6.0975e+06 152613
20800 6124  6.24014 18059.3   -6.10056e+06 152701
20900 6126  6.24014 18079.5   -6.10323e+06 152735
21000 6127  6.24014 18099.7   -6.10429e+06 152744
21100 6131  6.24014 18118.7   -6.10848e+06 152852
21200 6133  6.24014 18140.1   -6.11078e+06 152900
21300 6135  6.32152 18153.5   -6.11427e+06 152969
21400 6138  6.32152 18173.5   -6.11824e+06 153028
21500 6139  6.32152 18195.4   -6.12058e+06 153050
21600 6142  6.32152 18216.9   -6.12581e+06 153163
21700 6145  6.32152 18237.6   -6.13015e+06 153203
21800 6146  6.32152 18254   -6.13101e+06 153222
21900 6147  6.32152 18270.2   -6.1318e+06 153266
22000 6150  6.32152 18291   -6.13654e+06 153383
22100 6153  6.32152 18310   -6.14188e+06 153560
22200 6155  6.32152 18336.2   -6.14417e+06 153609
22300 6155  6.32152 18353   -6.14417e+06 153609
22400 6157  6.32152 18375.4   -6.1461e+06 153637
22500 6159  6.32152 18394.2   -6.14861e+06 153642
22600 6162  6.32152 18417.8   -6.15315e+06 153666
22700 6164  6.32152 18433   -6.15536e+06 153681
22800 6165  6.32152 18445.8   -6.15658e+06 153671
22900 6167  6.32152 18464.3   -6.15887e+06 153725
23000 6169  6.32152 18485.9   -6.16153e+06 153739
23100 6169  6.32152 18498.6   -6.16153e+06 153739
23200 6170  6.32152 18525   -6.16287e+06 153735
23300 6170  6.32152 18538.9   -6.16287e+06 153735
23400 6173  6.32152 18561.7   -6.16641e+06 153769
23500 6174  6.32152 18577   -6.16767e+06 153763
23600 6176  6.32152 18594.2   -6.17114e+06 153746
23700 6179  6.32152 18614.9   -6.17616e+06 153798
23800 6181  6.32152 18632.8   -6.1788e+06 153840
23900 6182  6.32152 18653.3   -6.17977e+06 153870
24000 6184  6.32152 18673.5   -6.18298e+06 153913
24100 6186  6.32152 18692.9   -6.18524e+06 153956
24200 6188  6.32152 18707.6   -6.18844e+06 153977
24300 6190  6.32152 18724.3   -6.19138e+06 154018
24400 6193  6.32152 18742.9   -6.19422e+06 154112
24500 6196  6.32152 18767.3   -6.19867e+06 154259
24600 6196  6.32152 18783   -6.19867e+06 154259
24700 6197  6.32152 18799.5   -6.20008e+06 154316
24800 6200  6.32152 18816.6   -6.20371e+06 154361
24900 6201  6.32152 18827.2   -6.20475e+06 154389
25000 6208  6.32152 18851.9   -6.21324e+06 154505
25100 6211  6.32152 18875.9   -6.21815e+06 154605
25200 6214  6.32152 18891.4   -6.22257e+06 154657
25300 6217  6.32152 18913   -6.22635e+06 154691
25400 6217  6.32152 18930.1   -6.22635e+06 154691
25500 6217  6.32152 18942.4   -6.22635e+06 154691
25600 6221  6.32152 18954.6   -6.23186e+06 154838
25700 6221  6.32152 18966.6   -6.23186e+06 154838
25800 6222  6.32152 18984.3   -6.23261e+06 154881
25900 6222  6.32152 18997.1   -6.23261e+06 154881
26000 6224  6.32152 19016.1   -6.23504e+06 154893
26100 6227  6.32152 19027.7   -6.2387e+06 154944
26200 6228  6.32152 19042.8   -6.23979e+06 154966
26300 6229  6.32152 19058.3   -6.24078e+06 154993
26400 6230  6.32152 19070.8   -6.24203e+06 155019
26500 6235  6.32152 19088.7   -6.24848e+06 155113
26600 6238  6.32152 19111.1   -6.25384e+06 155149
26700 6240  6.32152 19127.2   -6.25551e+06 155198
26800 6242  6.32152 19145.4   -6.25871e+06 155352
26900 6243  6.32152 19160.9   -6.26126e+06 155393
27000 6244  6.32152 19176   -6.2628e+06 155410
27100 6245  6.32152 19192.1   -6.26382e+06 155427
27200 6246  6.32152 19201.3   -6.26488e+06 155438
27300 6247  6.32152 19215.1   -6.26615e+06 155456
27400 6248  6.32152 19230.9   -6.26747e+06 155450
27500 6251  6.32152 19247.4   -6.27143e+06 155502
27600 6252  6.32152 19257.1   -6.27275e+06 155533
27700 6253  6.32152 19273.3   -6.27393e+06 155551
27800 6255  6.32152 19284.8   -6.27751e+06 155645
27900 6257  6.32152 19298.1   -6.28001e+06 155689
28000 6258  6.32152 19312.3   -6.28094e+06 155710
28100 6260  6.32152 19323.8   -6.28434e+06 155746
28200 6260  6.32152 19336.8   -6.28434e+06 155746
28300 6262  6.32152 19346.8   -6.28682e+06 155786
28400 6262  6.32152 19358.8   -6.28682e+06 155786
28500 6263  6.32152 19369   -6.28904e+06 155816
28600 6264  6.32152 19380.2   -6.29084e+06 155817
28700 6264  6.32152 19390.8   -6.29084e+06 155817
28800 6265  6.32152 19404.6   -6.2917e+06 155843
28900 6265  6.32152 19416.9   -6.2917e+06 155843
29000 6268  6.32152 19428.4   -6.2957e+06 155886
29100 6271  6.32152 19446.1   -6.3e+06 155955
29200 6272  6.32152 19460.7   -6.3013e+06 155968
29300 6273  6.32152 19475.5   -6.30336e+06 155975
29400 6273  6.32152 19491.1   -6.30336e+06 155975
29500 6274  6.32152 19500.4   -6.30523e+06 155955
29600 6276  6.32152 19513.9   -6.30668e+06 156033
29700 6276  6.32152 19530.1   -6.30668e+06 156033
29800 6279  6.32152 19547.1   -6.31014e+06 156086
29900 6279  6.32152 19558.1   -6.31014e+06 156086
30000 6281  6.32152 19574   -6.31214e+06 156117
30100 6284  6.32152 19587.1   -6.31763e+06 156166
30200 6287  6.32152 19600   -6.3228e+06 156262
30300 6289  6.32152 19614.5   -6.32601e+06 156316
30400 6291  6.32152 19623.9   -6.32804e+06 156362
30500 6293  6.32152 19637.7   -6.3304e+06 156395
30600 6296  6.32152 19651.1   -6.33445e+06 156472
30700 6297  6.32152 19665.1   -6.33592e+06 156489
30800 6297  6.32152 19675.7   -6.33592e+06 156489
30900 6299  6.32152 19691.5   -6.3381e+06 156538
31000 6300  6.32152 19703.1   -6.33912e+06 156561
31100 6301  6.32152 19716.5   -6.33981e+06 156609
31200 6303  6.32152 19732.7   -6.3431e+06 156638
31300 6305  6.32152 19742.2   -6.3455e+06 156655
31400 6309  6.32152 19754   -6.35148e+06 156810
31500 6309  6.32152 19763.7   -6.35148e+06 156810
31600 6311  6.32152 19779.3   -6.35522e+06 156879
31700 6312  6.32152 19791.4   -6.35616e+06 156895
31800 6312  6.32152 19804.6   -6.35616e+06 156895
31900 6312  6.32152 19815.4   -6.35616e+06 156895
32000 6318  6.32152 19832.4   -6.36497e+06 156981
32100 6322  6.32152 19848.7   -6.36997e+06 157048
32200 6326  6.32152 19858.5   -6.37676e+06 157224
32300 6327  6.32152 19868.4   -6.37758e+06 157256
32400 6327  6.32152 19878.5   -6.37758e+06 157256
32500 6327  6.38651 19888.3   -6.37758e+06 157256
32600 6328  6.38651 19898.2   -6.37884e+06 157249
32700 6328  6.38651 19912.1   -6.37884e+06 157249
32800 6329  6.38651 19921.3   -6.38001e+06 157266
32900 6330  6.38651 19936.6   -6.38127e+06 157255
33000 6331  6.38651 19945.2   -6.38255e+06 157278
33100 6332  6.38651 19957.7   -6.38402e+06 157257
33200 6332  6.38651 19970   -6.38402e+06 157257
33300 6334  6.38651 19978.2   -6.3863e+06 157274
33400 6335  6.38651 19989.3   -6.38713e+06 157309
33500 6336  6.38651 20001.5   -6.38843e+06 157310
33600 6339  6.38651 20015.4   -6.39202e+06 157371
33700 6339  6.38651 20026.5   -6.39202e+06 157371
33800 6340  6.41091 20037.8   -6.39441e+06 157428
33900 6342  6.41091 20047.3   -6.39719e+06 157460
34000 6345  6.41091 20059.1   -6.40049e+06 157496
34100 6348  6.41091 20071.4   -6.40371e+06 157572
34200 6350  6.46959 20082.2   -6.40697e+06 157616
34300 6351  6.46959 20093.3   -6.40842e+06 157636
34400 6353  6.46959 20106.3   -6.4113e+06 157618
34500 6355  6.46959 20118.3   -6.41376e+06 157633
34600 6356  6.46959 20129.8   -6.4152e+06 157611
34700 6357  6.46959 20139.6   -6.41651e+06 157603
34800 6359  6.46959 20153.6   -6.41991e+06 157646
34900 6360  6.46959 20168.6   -6.42058e+06 157686
35000 6362  6.46959 20180.6   -6.42453e+06 157743
35100 6362  6.46959 20190.2   -6.42453e+06 157743
35200 6363  6.46959 20202.7   -6.426e+06 157768
35300 6364  6.46959 20212.2   -6.42715e+06 157785
35400 6366  6.46959 20226.8   -6.4295e+06 157792
35500 6367  6.46959 20237.7   -6.43045e+06 157804
35600 6369  6.46959 20250.5   -6.43331e+06 157897
35700 6370  6.46959 20262.9   -6.43479e+06 157913
35800 6370  6.46959 20272.2   -6.43479e+06 157913
35900 6371  6.46959 20283.7   -6.4362e+06 157899
36000 6372  6.46959 20296.3   -6.43731e+06 157910
36100 6372  6.46959 20312.5   -6.43731e+06 157910
36200 6372  6.46959 20321.3   -6.43731e+06 157910
36300 6374  6.46959 20334.8   -6.44011e+06 157966
36400 6375  6.46959 20346.8   -6.44093e+06 158007
36500 6376  6.70936 20357.4   -6.44316e+06 158015
36600 6379  6.70936 20370   -6.44677e+06 158082
36700 6383  6.70936 20383.9   -6.45284e+06 158228
36800 6384  6.70936 20394.2   -6.4537e+06 158251
36900 6384  6.70936 20404.5   -6.4537e+06 158251
37000 6386  6.70936 20414   -6.45617e+06 158275
37100 6386  6.70936 20422.4   -6.45617e+06 158275
37200 6388  6.70936 20433.8   -6.45793e+06 158333
37300 6389  6.70936 20442.8   -6.45899e+06 158339
37400 6389  6.70936 20459.1   -6.45899e+06 158339
37500 6391  6.70936 20468.2   -6.46355e+06 158431
37600 6392  6.70936 20480   -6.46486e+06 158442
37700 6392  6.70936 20491.1   -6.46486e+06 158442
37800 6393  6.70936 20500   -6.46566e+06 158477
37900 6394  6.70936 20512.2   -6.46647e+06 158496
38000 6394  6.70936 20521.4   -6.46647e+06 158496
38100 6394  6.70936 20528.5   -6.46647e+06 158496
38200 6394  6.70936 20539.5   -6.46647e+06 158496
38300 6394  6.70936 20549.9   -6.46647e+06 158496
38400 6395  6.70936 20563   -6.46773e+06 158509
38500 6396  6.70936 20576.1   -6.46924e+06 158497
38600 6398  6.70936 20588.8   -6.47288e+06 158584
38700 6398  6.70936 20599.9   -6.47288e+06 158584
38800 6399  6.70936 20615.7   -6.47517e+06 158622
38900 6400  6.70936 20627.7   -6.47672e+06 158610
39000 6400  6.70936 20637.9   -6.47672e+06 158610
39100 6400  6.70936 20645.5   -6.47672e+06 158610
