0 3  0.64982 1.46783   -9 0
100 672  2.22308 826.917   -220658 9194.35
200 1118  2.58863 1564.01   -470016 18907.8
300 1375  3.03866 2151.14   -646075 25804
400 1654  3.4504 2681.08   -861754 36460.2
500 1994  3.52183 3209.34   -1.14859e+06 50669.7
600 2287  3.56815 3686.38   -1.40531e+06 60784.9
700 2512  4.05482 4094.97   -1.61447e+06 67184.6
800 2713  4.0921 4452.36   -1.80382e+06 72541.3
900 2845  4.0921 4790.71   -1.93157e+06 76238.3
1000 3000  4.19033 5127.65   -2.0935e+06 79316.4
1100 3108  4.27996 5419.14   -2.21044e+06 81783.5
1200 3256  4.27996 5725.89   -2.37004e+06 83937.7
1300 3377  4.27996 6007.11   -2.50701e+06 86413.2
1400 3489  4.27996 6288.97   -2.63667e+06 90714.6
1500 3595  4.37596 6567.02   -2.76428e+06 94341.8
1600 3692  4.50202 6844.14   -2.87961e+06 97686.4
1700 3805  4.50202 7123.44   -3.02442e+06 101323
1800 3893  4.50537 7388.54   -3.13502e+06 104098
1900 3965  4.50537 7631.41   -3.23133e+06 106376
2000 4057  4.57308 7894.45   -3.34974e+06 109149
2100 4127  4.57308 8124.34   -3.43277e+06 110344
2200 4188  4.57308 8354.53   -3.51142e+06 111837
2300 4238  4.59922 8577.58   -3.57499e+06 112681
2400 4282  4.59922 8801.51   -3.63562e+06 113994
2500 4320  4.62807 8986.2   -3.69079e+06 115086
2600 4354  4.66375 9175.3   -3.73746e+06 116190
2700 4384  4.66375 9348.6   -3.77685e+06 116968
2800 4419  4.71561 9532.67   -3.81929e+06 117648
2900 4441  4.71561 9687.48   -3.84963e+06 118320
3000 4481  4.71561 9849.22   -3.89887e+06 119435
3100 4507  4.71561 10007.3   -3.92964e+06 119982
3200 4541  4.71561 10175.9   -3.97491e+06 120919
3300 4566  4.71561 10308.9   -4.00878e+06 121423
3400 4590  4.71561 10464.2   -4.04258e+06 122061
3500 4617  4.71561 10615.3   -4.07669e+06 122752
3600 4644  4.71561 10761.8   -4.11096e+06 123513
3700 4668  4.73716 10893.5   -4.14574e+06 123854
3800 4692  4.73716 11039.8   -4.17738e+06 124273
3900 4714  4.73716 11179.4   -4.20445e+06 124809
4000 4739  4.73716 11306.7   -4.23798e+06 125165
4100 4772  4.80238 11448.3   -4.27622e+06 125396
4200 4806  4.80238 11581.6   -4.3233e+06 125930
