0 18  -0.0226279 -3.60878   -324 0
100 2477  2.33537 1418.81   -1.59375e+06 56010.1
200 3151  2.56617 2570.43   -2.33578e+06 78011
300 3548  2.88824 3453.32   -2.80528e+06 90100.5
400 3803  2.94942 4227.38   -3.12281e+06 97615.2
500 3979  3.12028 4834.74   -3.34128e+06 103141
600 4124  3.16084 5354.47   -3.52229e+06 107478
700 4218  3.39347 5831.53   -3.64392e+06 110590
800 4311  3.6107 6246.75   -3.76134e+06 113551
900 4394  3.63555 6621.06   -3.86971e+06 115777
1000 4445  3.73071 6952.89   -3.93716e+06 117307
1100 4504  3.75253 7262.14   -4.01165e+06 118459
1200 4570  3.90505 7553.15   -4.09977e+06 119834
1300 4615  3.90505 7809.23   -4.15578e+06 120836
1400 4667  3.92444 8071.78   -4.23005e+06 122143
1500 4707  3.99257 8294.99   -4.27865e+06 122863
1600 4737  3.99257 8522.59   -4.31811e+06 123680
1700 4765  3.99257 8739.28   -4.35683e+06 124315
1800 4793  4.03763 8953.58   -4.39734e+06 125229
1900 4816  4.03763 9146.45   -4.42317e+06 125697
2000 4849  4.06857 9353.34   -4.46568e+06 126617
2100 4881  4.2988 9544.7   -4.50661e+06 127143
2200 4905  4.2988 9733.11   -4.53569e+06 127782
2300 4932  4.2988 9904.24   -4.57253e+06 128176
2400 4951  4.2988 10069.1   -4.59816e+06 128759
2500 4974  4.2988 10231   -4.63021e+06 129393
2600 4996  4.39332 10377.9   -4.65935e+06 129860
2700 5022  4.44426 10515.1   -4.69315e+06 130520
2800 5043  4.51836 10640   -4.71541e+06 130802
2900 5056  4.55088 10772.4   -4.73292e+06 130980
3000 5078  4.55088 10903.6   -4.76346e+06 131308
3100 5096  4.70311 11030.7   -4.78757e+06 131759
3200 5112  4.70311 11147.8   -4.80691e+06 132024
3300 5122  4.82979 11270.7   -4.82068e+06 132380
3400 5138  4.82979 11392.1   -4.84465e+06 132784
3500 5162  4.82979 11507.4   -4.87678e+06 133291
3600 5173  4.83055 11607.1   -4.89378e+06 133561
3700 5188  4.83237 11714.3   -4.91622e+06 133983
3800 5200  4.88337 11819.3   -4.93272e+06 134218
3900 5210  4.88337 11931.7   -4.94443e+06 134405
4000 5223  4.88337 12028.5   -4.96307e+06 134484
4100 5232  5.03313 12123.6   -4.9744e+06 134744
4200 5242  5.03313 12219.7   -4.98687e+06 134983
4300 5251  5.07118 12322.4   -4.99921e+06 135174
4400 5260  5.07118 12419.9   -5.01243e+06 135391
4500 5271  5.07118 12509.9   -5.02676e+06 135605
4600 5281  5.11216 12603.1   -5.0395e+06 135799
4700 5295  5.11216 12689   -5.0594e+06 136165
