0 60  0.679962 -3.18669   -958 56.5656
100 3116  2.76897 2333.06   -2.25837e+06 71680.7
200 3913  3.11173 4169.69   -3.27191e+06 98422.3
300 4358  3.5538 5652.3   -3.8391e+06 110421
400 4606  3.7472 6845.56   -4.15442e+06 116668
500 4817  4.01064 7903.17   -4.4223e+06 121514
600 4984  4.55645 8838.42   -4.63566e+06 125672
700 5109  4.55645 9660.77   -4.80462e+06 128307
800 5196  4.84877 10348.6   -4.91448e+06 130178
900 5281  4.84877 10934.4   -5.01516e+06 132114
1000 5366  4.84877 11478.2   -5.11765e+06 134331
1100 5438  4.84877 12006.5   -5.20743e+06 136585
1200 5510  4.91121 12506.7   -5.29125e+06 138008
1300 5574  5.71378 13012   -5.36663e+06 139829
1400 5641  5.71378 13504.6   -5.43474e+06 142028
1500 5695  5.71378 13980.4   -5.50702e+06 143603
1600 5756  5.71378 14422.9   -5.57941e+06 145267
1700 5803  5.71378 14792.6   -5.62847e+06 146351
1800 5840  5.71378 15158.6   -5.66842e+06 146889
1900 5881  5.71378 15509   -5.72009e+06 147959
2000 5908  5.71378 15833.2   -5.75708e+06 148538
2100 5950  5.71378 16128.2   -5.8104e+06 149545
2200 5989  5.71378 16431.1   -5.862e+06 150650
2300 6021  5.71378 16729.2   -5.89951e+06 151266
2400 6062  5.78797 17048.1   -5.94634e+06 152614
2500 6096  6.31604 17296.2   -5.98717e+06 153597
2600 6129  6.34742 17544.6   -6.02818e+06 154360
2700 6157  6.34742 17781.9   -6.06328e+06 154975
2800 6189  6.34742 18043.5   -6.10261e+06 155767
2900 6217  6.34742 18269.1   -6.1408e+06 156088
3000 6248  6.34742 18487.3   -6.17591e+06 156603
3100 6276  6.59502 18714.8   -6.21062e+06 157265
3200 6305  6.59502 18929.3   -6.25168e+06 157813
3300 6329  6.59502 19154.8   -6.28187e+06 158354
3400 6345  6.77087 19339.8   -6.30279e+06 158693
3500 6365  6.77087 19546.1   -6.3239e+06 159004
3600 6388  6.77087 19739.9   -6.35365e+06 159672
3700 6412  6.81056 19959.4   -6.38815e+06 160289
3800 6429  6.81056 20124.5   -6.40462e+06 160643
3900 6445  6.81056 20314.3   -6.42783e+06 161101
4000 6461  7.23016 20502.2   -6.44908e+06 161408
4100 6479  7.23016 20674.5   -6.47148e+06 161605
4200 6492  7.23016 20841.1   -6.48925e+06 161820
4300 6505  7.23016 21000.4   -6.50744e+06 162261
4400 6518  7.23016 21176.9   -6.52149e+06 162418
4500 6533  7.23016 21352.4   -6.54074e+06 162635
4600 6558  7.23016 21524.3   -6.5693e+06 163059
4700 6581  7.23016 21699   -6.59951e+06 163533
4800 6597  7.23016 21857.3   -6.61819e+06 163833
4900 6615  7.23016 22028.4   -6.64138e+06 164273
5000 6629  7.23016 22192.1   -6.65963e+06 164670
5100 6639  7.23016 22341.6   -6.67474e+06 164871
5200 6655  7.23016 22515.1   -6.69505e+06 165297
5300 6674  7.23016 22678   -6.72401e+06 165695
5400 6691  7.23016 22837.6   -6.74462e+06 166054
5500 6708  7.26028 22994.3   -6.76446e+06 166378
5600 6726  7.44866 23152.6   -6.78751e+06 166676
5700 6735  7.44866 23306.8   -6.80246e+06 166839
5800 6750  7.44866 23459.2   -6.82281e+06 167044
5900 6763  7.44866 23610.3   -6.83863e+06 167163
6000 6772  7.44866 23747.2   -6.84939e+06 167257
6100 6786  7.44866 23896.2   -6.86964e+06 167375
6200 6793  7.65859 24031.8   -6.8794e+06 167509
6300 6796  7.65859 24174.1   -6.88277e+06 167548
6400 6802  7.65859 24313.3   -6.88837e+06 167728
6500 6820  7.65859 24450.9   -6.91355e+06 167922
6600 6827  7.65859 24588.4   -6.92138e+06 167960
6700 6836  7.65859 24722.8   -6.93166e+06 168070
6800 6845  7.68113 24854   -6.9437e+06 168089
6900 6855  7.68113 24989.4   -6.95814e+06 168356
7000 6858  7.68113 25110.3   -6.96144e+06 168385
7100 6865  8.06103 25245.1   -6.97015e+06 168534
7200 6872  8.06103 25377.5   -6.98085e+06 168640
7300 6881  8.06103 25491.6   -6.99312e+06 168685
7400 6887  8.06103 25606.4   -7.00346e+06 168967
7500 6889  8.06103 25728.5   -7.00586e+06 168976
7600 6897  8.06103 25842.6   -7.01671e+06 169084
7700 6902  8.06103 25956.4   -7.02454e+06 169183
7800 6907  8.06103 26061.2   -7.03152e+06 169362
7900 6916  8.06103 26175.3   -7.04484e+06 169502
8000 6925  8.06103 26283.7   -7.05701e+06 169629
8100 6933  8.06103 26401   -7.06516e+06 169828
8200 6942  8.06103 26525.3   -7.07578e+06 170051
8300 6951  8.06103 26637.8   -7.08667e+06 170237
8400 6959  8.06103 26752.2   -7.09648e+06 170368
8500 6964  8.06103 26850.2   -7.10261e+06 170467
8600 6975  8.06103 26971.3   -7.11717e+06 170615
8700 6985  8.06103 27075.9   -7.13007e+06 170854
8800 6991  8.06103 27170.1   -7.13584e+06 170932
8900 6996  8.06103 27265   -7.14082e+06 171035
9000 7004  8.06103 27373   -7.15284e+06 171100
9100 7007  8.12541 27472.7   -7.15685e+06 171124
9200 7012  8.12541 27570.3   -7.16266e+06 171144
9300 7018  8.12541 27673.1   -7.17009e+06 171179
9400 7027  8.12541 27762.7   -7.18376e+06 171445
9500 7032  8.12541 27869.9   -7.18915e+06 171524
9600 7040  8.12541 27984.7   -7.20061e+06 171619
9700 7045  8.12541 28069.5   -7.20775e+06 171595
9800 7049  8.12541 28171.4   -7.21268e+06 171639
9900 7054  8.12541 28272.3   -7.21855e+06 171685
10000 7057  8.12541 28361.5   -7.22114e+06 171748
10100 7064  8.12541 28454.8   -7.23019e+06 171887
10200 7069  8.12541 28532.9   -7.23668e+06 171979
10300 7074  8.14358 28631.1   -7.24255e+06 172119
10400 7078  8.19542 28712.4   -7.2472e+06 172179
10500 7083  8.19542 28801.4   -7.25393e+06 172275
10600 7090  8.19542 28910   -7.26148e+06 172339
10700 7095  8.19542 28976.8   -7.26794e+06 172378
10800 7102  8.19542 29062.7   -7.27728e+06 172406
10900 7106  8.2127 29153.9   -7.28176e+06 172410
11000 7111  8.2127 29245.5   -7.28676e+06 172487
11100 7117  8.27234 29326   -7.29481e+06 172534
11200 7125  8.27234 29395.5   -7.3058e+06 172607
11300 7132  8.27234 29471.8   -7.31364e+06 172710
11400 7137  8.30945 29547.6   -7.32073e+06 172768
11500 7142  8.37613 29630.5   -7.32808e+06 172969
11600 7147  8.37613 29714.5   -7.33446e+06 173081
11700 7153  8.37613 29790.4   -7.34082e+06 173169
11800 7155  8.37613 29877.4   -7.34442e+06 173225
11900 7161  8.37613 29958.6   -7.35336e+06 173422
12000 7166  8.37613 30042.8   -7.36376e+06 173576
12100 7171  8.37613 30119.1   -7.37095e+06 173555
12200 7174  8.37613 30183   -7.37449e+06 173570
12300 7177  8.37613 30248   -7.37964e+06 173705
12400 7179  8.37613 30304.2   -7.38291e+06 173782
12500 7185  8.42193 30390.5   -7.39039e+06 173911
12600 7188  8.42193 30462   -7.39416e+06 173887
12700 7189  8.42193 30529.4   -7.39479e+06 173932
12800 7189  8.42193 30596.5   -7.39479e+06 173932
12900 7191  8.42193 30685.8   -7.39939e+06 174064
13000 7200  8.42193 30749.1   -7.41165e+06 174170
13100 7202  8.70784 30824.9   -7.41419e+06 174224
13200 7205  8.70784 30883.5   -7.41774e+06 174250
13300 7207  8.70784 30944.5   -7.42086e+06 174298
13400 7213  8.70784 31017.8   -7.43105e+06 174427
13500 7216  8.70784 31083.8   -7.43612e+06 174428
13600 7216  8.70784 31141.9   -7.43612e+06 174428
13700 7216  8.73392 31207.4   -7.43612e+06 174428
13800 7219  8.73392 31265.6   -7.43997e+06 174464
13900 7221  8.78715 31320   -7.44214e+06 174472
14000 7227  8.78715 31393.5   -7.44769e+06 174595
14100 7229  8.78715 31452   -7.44959e+06 174631
14200 7232  8.78715 31516.4   -7.45385e+06 174712
14300 7236  8.78715 31579.9   -7.45993e+06 174786
14400 7242  8.78715 31642.6   -7.46838e+06 174952
14500 7245  8.78715 31697.9   -7.47219e+06 175000
14600 7250  8.78715 31764.5   -7.47792e+06 175055
14700 7252  8.84558 31833.9   -7.48018e+06 175087
14800 7257  8.98655 31889.6   -7.4859e+06 175173
14900 7258  8.98655 31935.4   -7.48734e+06 175178
15000 7259  8.98655 31982.2   -7.48822e+06 175206
15100 7261  8.98655 32041   -7.48959e+06 175267
15200 7261  8.98655 32092   -7.48959e+06 175267
15300 7265  8.98655 32151.9   -7.49292e+06 175369
15400 7268  8.98655 32196.4   -7.49644e+06 175414
15500 7277  8.98655 32263   -7.50554e+06 175711
15600 7282  8.98655 32313.8   -7.51247e+06 175848
15700 7290  8.98655 32369.4   -7.52427e+06 175881
15800 7294  9.00162 32423.8   -7.52859e+06 175922
15900 7299  9.01947 32470.6   -7.53355e+06 176014
16000 7303  9.01947 32527.2   -7.53884e+06 176138
16100 7306  9.16423 32575.7   -7.54227e+06 176168
16200 7311  9.16423 32622.6   -7.54762e+06 176236
16300 7314  9.16423 32665   -7.55048e+06 176298
16400 7318  9.16423 32711.6   -7.55612e+06 176471
16500 7318  9.16423 32752.1   -7.55612e+06 176471
16600 7320  9.16423 32801.1   -7.55831e+06 176514
16700 7324  9.16423 32841.1   -7.56236e+06 176578
16800 7327  9.16423 32895.5   -7.5678e+06 176678
16900 7330  9.16423 32936.3   -7.57166e+06 176792
17000 7333  9.16423 32985   -7.57435e+06 176855
17100 7336  9.16423 33029.1   -7.57773e+06 176875
17200 7336  9.16423 33066.7   -7.57773e+06 176875
17300 7339  9.16423 33117.5   -7.58056e+06 176944
17400 7343  9.19522 33165.9   -7.58565e+06 176965
17500 7346  9.19522 33203.3   -7.58919e+06 176984
17600 7346  9.19522 33251.8   -7.58919e+06 176984
17700 7349  9.19522 33289.7   -7.59309e+06 176998
17800 7350  9.19522 33330.8   -7.5942e+06 176997
17900 7351  9.19522 33371.4   -7.59474e+06 177041
18000 7352  9.19522 33410.9   -7.59616e+06 177051
18100 7355  9.19522 33455.2   -7.59992e+06 177179
18200 7358  9.19522 33493.2   -7.60315e+06 177262
18300 7360  9.19522 33533.6   -7.60454e+06 177320
18400 7366  9.19522 33571.6   -7.61137e+06 177423
18500 7369  9.19522 33618.8   -7.61496e+06 177459
18600 7372  9.19522 33655.5   -7.61868e+06 177520
18700 7375  9.19522 33698.7   -7.62361e+06 177548
18800 7378  9.19522 33747.3   -7.62689e+06 177571
18900 7378  9.19522 33787.5   -7.62689e+06 177571
19000 7380  9.19522 33838.5   -7.63005e+06 177634
19100 7382  9.19522 33876.5   -7.63209e+06 177724
19200 7383  9.19522 33907.1   -7.6333e+06 177717
19300 7384  9.19522 33942.5   -7.63414e+06 177737
19400 7385  9.19522 33979.2   -7.63487e+06 177758
19500 7388  9.19522 34011.4   -7.63734e+06 177837
19600 7389  9.19522 34044   -7.6381e+06 177870
19700 7391  9.19522 34089.5   -7.64044e+06 177892
19800 7395  9.19522 34123.7   -7.64487e+06 177947
19900 7399  9.19522 34167.4   -7.65075e+06 177975
20000 7401  9.19522 34202.4   -7.6535e+06 177993
20100 7401  9.19522 34230.1   -7.6535e+06 177993
20200 7402  9.19522 34265.1   -7.65551e+06 178015
20300 7403  9.33702 34300.4   -7.65641e+06 178034
20400 7405  9.33702 34340.5   -7.6587e+06 178033
20500 7408  9.33702 34386.2   -7.66214e+06 178105
20600 7415  9.33702 34432.6   -7.67096e+06 178116
20700 7418  9.33702 34476.3   -7.67644e+06 178198
20800 7422  9.33702 34502.8   -7.68147e+06 178312
20900 7423  9.33702 34533.9   -7.68216e+06 178345
21000 7424  9.33702 34566.1   -7.68291e+06 178377
21100 7427  9.33702 34603.7   -7.68568e+06 178429
21200 7430  9.33702 34646.9   -7.68782e+06 178531
21300 7430  9.33702 34678.8   -7.68782e+06 178531
21400 7435  9.33702 34716   -7.69337e+06 178585
21500 7437  9.33702 34748.7   -7.69487e+06 178646
21600 7440  9.33702 34778   -7.6981e+06 178687
21700 7442  9.33702 34808.8   -7.70114e+06 178713
21800 7443  9.33702 34839.5   -7.70244e+06 178712
21900 7447  9.33702 34876.2   -7.70684e+06 178748
22000 7450  9.33702 34911.2   -7.71013e+06 178794
22100 7455  9.33702 34943.9   -7.71624e+06 178907
22200 7460  9.33702 34984.3   -7.72327e+06 178989
22300 7463  9.33702 35018.5   -7.72702e+06 178995
22400 7465  9.33702 35046.7   -7.72856e+06 179066
22500 7467  9.33702 35078.8   -7.73052e+06 179089
22600 7467  9.33702 35111.8   -7.73052e+06 179089
22700 7471  9.33702 35140.1   -7.73567e+06 179102
22800 7473  9.33702 35178.5   -7.73856e+06 179102
22900 7474  9.33702 35204   -7.74016e+06 179082
23000 7477  9.33702 35243.5   -7.74528e+06 179294
23100 7480  9.38207 35280.6   -7.74756e+06 179370
23200 7482  9.38207 35317.8   -7.74944e+06 179403
23300 7484  9.38207 35338.8   -7.75237e+06 179392
23400 7488  9.38207 35371.4   -7.75776e+06 179409
23500 7490  9.38207 35398   -7.76032e+06 179476
23600 7492  9.38207 35423.9   -7.76252e+06 179496
23700 7493  9.38207 35454.7   -7.76419e+06 179562
23800 7493  9.38207 35497.6   -7.76419e+06 179562
23900 7496  9.38207 35543.7   -7.76858e+06 179610
24000 7498  9.38207 35582   -7.77107e+06 179622
24100 7501  9.38207 35606.1   -7.77374e+06 179697
24200 7501  9.38207 35632.4   -7.77374e+06 179697
24300 7502  9.38207 35659.1   -7.77563e+06 179694
24400 7504  9.38207 35683.8   -7.77717e+06 179737
24500 7504  9.38207 35712.9   -7.77717e+06 179737
24600 7506  9.38207 35735.8   -7.77954e+06 179747
24700 7508  9.43921 35761.9   -7.78183e+06 179761
24800 7508  9.43921 35777   -7.78183e+06 179761
24900 7510  9.43921 35809.3   -7.78504e+06 179928
25000 7510  9.43921 35840.8   -7.78504e+06 179928
25100 7513  9.43921 35864.8   -7.7877e+06 179991
25200 7513  9.43921 35886.7   -7.7877e+06 179991
25300 7517  9.43921 35914.2   -7.79263e+06 180032
25400 7520  9.43921 35941   -7.79621e+06 180045
25500 7521  9.43921 35963.8   -7.79713e+06 180055
25600 7521  9.43921 35985.4   -7.79713e+06 180055
25700 7523  9.43921 36006   -7.79886e+06 180089
25800 7523  9.43921 36031.2   -7.79886e+06 180089
25900 7525  9.43921 36069.1   -7.80352e+06 180192
26000 7528  9.43921 36106.8   -7.80742e+06 180221
26100 7531  9.50787 36126.6   -7.81108e+06 180242
26200 7532  9.50787 36153.7   -7.81306e+06 180237
26300 7536  9.80104 36177.5   -7.81706e+06 180290
26400 7539  9.80104 36209.3   -7.82025e+06 180313
26500 7541  9.80104 36242.9   -7.82305e+06 180312
26600 7542  9.80104 36265.8   -7.82509e+06 180317
26700 7544  9.80104 36288.9   -7.82663e+06 180364
26800 7544  9.80104 36319.4   -7.82663e+06 180364
26900 7548  9.80104 36348.9   -7.83206e+06 180423
27000 7548  9.80104 36379.6   -7.83206e+06 180423
27100 7550  9.80104 36398.4   -7.83378e+06 180475
27200 7550  9.80104 36434.9   -7.83378e+06 180475
27300 7551  9.80104 36459   -7.83438e+06 180505
27400 7552  9.85558 36485.6   -7.8358e+06 180515
27500 7555  9.85558 36505.2   -7.83839e+06 180592
27600 7555  9.85558 36524.9   -7.83839e+06 180592
27700 7557  9.85558 36547.9   -7.84053e+06 180588
27800 7557  9.85558 36570.3   -7.84053e+06 180588
27900 7561  9.85558 36589.8   -7.8446e+06 180658
