0 119  1.68131 0.163007   -3837 183.041
100 3033  3.02061 2484.35   -2.26839e+06 81915.4
200 3801  3.39179 4087.25   -3.16353e+06 104945
300 4309  3.75553 5384.55   -3.75276e+06 116893
400 4677  3.96062 6475.71   -4.18207e+06 125420
500 4971  4.70003 7459.28   -4.53314e+06 131843
600 5144  4.8718 8247.95   -4.7467e+06 135221
700 5322  4.89062 8987.01   -4.9547e+06 139013
800 5453  5.23443 9636.25   -5.12238e+06 141884
900 5564  5.5398 10249.1   -5.25012e+06 144967
1000 5672  5.5398 10817.4   -5.38486e+06 147361
1100 5769  5.54189 11374   -5.50017e+06 149183
1200 5850  5.54189 11871.2   -5.60315e+06 150508
1300 5911  5.54189 12321.5   -5.67958e+06 151619
1400 5974  5.55872 12775.6   -5.7562e+06 152816
1500 6023  5.93528 13179   -5.81764e+06 153600
1600 6075  5.93528 13567.3   -5.8869e+06 154897
1700 6122  5.93528 13924.7   -5.94421e+06 156157
1800 6176  5.93528 14297.7   -6.02092e+06 157373
1900 6224  5.93528 14668.2   -6.08084e+06 158084
2000 6264  5.93528 14995.8   -6.13069e+06 159062
2100 6303  5.93528 15312.9   -6.1818e+06 159870
2200 6329  5.93528 15574.7   -6.21321e+06 160362
2300 6356  5.93528 15857.9   -6.24553e+06 160672
2400 6386  5.93528 16155.1   -6.28664e+06 160989
2500 6409  5.93528 16438.5   -6.3202e+06 161457
2600 6434  5.93528 16690.4   -6.35132e+06 162135
2700 6456  5.93528 16973.3   -6.37972e+06 162649
2800 6482  5.93528 17202.2   -6.41197e+06 163069
2900 6509  5.93528 17433.4   -6.44324e+06 163460
3000 6529  6.05226 17651.4   -6.46864e+06 163732
3100 6550  6.05226 17861.9   -6.4973e+06 164033
3200 6570  6.05226 18071.5   -6.52126e+06 164374
3300 6588  6.1147 18295.3   -6.54487e+06 164755
3400 6604  6.17476 18483.9   -6.56562e+06 164997
3500 6623  6.17476 18664.1   -6.59522e+06 165279
3600 6639  6.17476 18837.9   -6.61872e+06 165492
3700 6657  6.17476 18997   -6.64715e+06 165766
3800 6671  6.17476 19161   -6.6676e+06 166106
3900 6681  6.22688 19325.3   -6.68179e+06 166239
4000 6696  6.44275 19524.7   -6.70389e+06 166435
4100 6715  6.5377 19686.7   -6.73353e+06 166793
4200 6726  6.5377 19835.7   -6.75167e+06 167016
4300 6742  6.5377 19996.7   -6.77677e+06 167645
4400 6754  6.5377 20163.2   -6.79563e+06 167863
4500 6766  6.653 20313.4   -6.81213e+06 168067
4600 6772  6.653 20461.3   -6.82221e+06 168382
4700 6780  6.8511 20606.6   -6.8325e+06 168463
4800 6790  6.8511 20758.8   -6.84716e+06 168672
4900 6802  6.8511 20889.6   -6.86141e+06 168787
5000 6809  6.8511 21027.4   -6.8712e+06 168983
5100 6820  6.8511 21184.5   -6.88325e+06 169153
5200 6830  6.8511 21305.4   -6.89722e+06 169323
5300 6840  6.8511 21436.4   -6.90766e+06 169396
5400 6848  6.8511 21556.1   -6.91688e+06 169537
5500 6854  6.8511 21664.1   -6.92506e+06 169624
5600 6871  6.8511 21801.8   -6.95011e+06 169767
5700 6878  6.8511 21915.4   -6.95824e+06 169842
5800 6888  6.8511 22038.6   -6.97263e+06 170041
5900 6903  6.96928 22160.4   -6.99028e+06 170382
6000 6909  6.96928 22275   -6.99901e+06 170443
6100 6921  6.96928 22394.7   -7.01853e+06 170800
6200 6929  6.96928 22501.9   -7.03031e+06 170865
6300 6936  6.96928 22625.7   -7.04199e+06 171007
6400 6944  6.96928 22710   -7.05277e+06 171131
6500 6959  6.96928 22810.2   -7.07308e+06 171381
6600 6967  6.96928 22913   -7.08163e+06 171444
6700 6977  6.96928 23004.2   -7.09236e+06 171583
6800 6986  6.96928 23098.6   -7.10516e+06 171664
6900 6995  6.96928 23193.1   -7.11412e+06 171787
7000 7005  6.96928 23285.2   -7.1284e+06 171949
7100 7013  6.96928 23367.5   -7.13776e+06 172056
7200 7021  6.96928 23461   -7.14694e+06 172137
7300 7030  7.11491 23543.2   -7.1586e+06 172292
7400 7040  7.44659 23636.3   -7.17245e+06 172503
7500 7049  7.44659 23718.1   -7.18497e+06 172520
7600 7057  7.44659 23792.6   -7.19725e+06 172563
7700 7062  7.44659 23876.4   -7.20228e+06 172631
7800 7068  7.44659 23955.1   -7.21223e+06 172860
7900 7083  7.44659 24035.7   -7.22975e+06 173064
8000 7092  7.44659 24115.6   -7.24141e+06 173236
8100 7101  7.44659 24192.3   -7.25605e+06 173486
8200 7108  7.44659 24270.6   -7.26889e+06 173686
8300 7119  7.44659 24352.5   -7.28478e+06 173838
8400 7125  7.44659 24424.4   -7.29179e+06 173867
8500 7133  7.44659 24493.2   -7.3021e+06 173919
8600 7150  7.44659 24575.3   -7.32702e+06 174096
8700 7159  7.47337 24644.1   -7.33849e+06 174212
8800 7166  7.47337 24709.8   -7.35059e+06 174333
8900 7173  7.47337 24798.4   -7.36154e+06 174396
9000 7182  7.48535 24879.8   -7.37334e+06 174459
9100 7188  7.48535 24961.6   -7.38137e+06 174546
9200 7193  7.48535 25035.2   -7.38947e+06 174694
9300 7204  7.48535 25117.9   -7.40183e+06 174810
9400 7213  7.77343 25204.9   -7.41264e+06 174937
9500 7217  7.77343 25267.9   -7.41824e+06 175002
9600 7221  7.77343 25336.4   -7.42434e+06 175026
9700 7228  7.77343 25393.1   -7.4352e+06 175028
9800 7233  7.77343 25448.8   -7.44102e+06 175060
9900 7235  7.82329 25503.1   -7.4455e+06 175202
10000 7242  7.82329 25576.2   -7.45412e+06 175326
10100 7247  7.82329 25638   -7.4594e+06 175436
10200 7252  7.82329 25696   -7.46761e+06 175542
10300 7257  7.82329 25756.8   -7.47544e+06 175590
10400 7266  7.82329 25834.4   -7.48884e+06 175692
10500 7273  7.82329 25892.5   -7.50038e+06 175942
10600 7279  7.82329 25945.6   -7.50712e+06 176012
10700 7284  7.82329 26006.7   -7.51478e+06 176050
10800 7285  7.82329 26062.2   -7.51532e+06 176096
10900 7288  7.82329 26121.3   -7.51838e+06 176143
11000 7289  7.82329 26166.8   -7.51923e+06 176172
11100 7291  7.82329 26224.1   -7.52152e+06 176218
11200 7296  7.82329 26279.3   -7.52608e+06 176303
11300 7298  7.82329 26336.4   -7.52819e+06 176338
11400 7301  7.82329 26392.1   -7.53155e+06 176374
11500 7305  7.82329 26439.8   -7.53624e+06 176443
11600 7309  7.82329 26507.1   -7.53972e+06 176519
11700 7312  7.82329 26563.7   -7.54262e+06 176579
11800 7315  7.86819 26618.8   -7.54656e+06 176563
11900 7316  7.86819 26672.5   -7.54799e+06 176551
12000 7316  7.96341 26729.1   -7.54799e+06 176551
12100 7322  8.12553 26780   -7.55627e+06 176584
12200 7326  8.12553 26832.9   -7.5615e+06 176629
12300 7330  8.12553 26877.3   -7.56725e+06 176649
12400 7332  8.12553 26919.1   -7.56978e+06 176642
12500 7334  8.12553 26967.6   -7.57253e+06 176653
12600 7338  8.12553 27023.2   -7.57631e+06 176721
12700 7341  8.12553 27069.7   -7.58176e+06 176751
12800 7349  8.12553 27120.9   -7.59244e+06 176855
12900 7352  8.12553 27162.9   -7.59613e+06 176900
13000 7354  8.12553 27201   -7.59878e+06 176907
13100 7355  8.12553 27250.9   -7.6004e+06 176910
13200 7359  8.12553 27294.7   -7.60507e+06 176952
13300 7362  8.12553 27358.8   -7.61014e+06 177001
13400 7363  8.12553 27397.8   -7.61136e+06 177015
13500 7363  8.12553 27438.5   -7.61136e+06 177015
13600 7363  8.12553 27474.1   -7.61136e+06 177015
13700 7364  8.12553 27517.8   -7.61263e+06 177014
13800 7366  8.12553 27569.1   -7.61584e+06 177050
13900 7368  8.12553 27607.5   -7.61814e+06 177071
14000 7371  8.12553 27646.9   -7.622e+06 177090
14100 7373  8.12553 27688.1   -7.62564e+06 177103
14200 7375  8.12553 27736.1   -7.62904e+06 177144
14300 7377  8.12553 27775.8   -7.63316e+06 177239
14400 7379  8.12553 27809.6   -7.63509e+06 177278
14500 7383  8.12553 27869.4   -7.64069e+06 177322
14600 7387  8.12553 27920.4   -7.64696e+06 177361
14700 7390  8.12553 27964.2   -7.65045e+06 177353
14800 7391  8.12553 28004.2   -7.65155e+06 177352
14900 7392  8.12553 28043.8   -7.65333e+06 177371
15000 7394  8.12553 28078.2   -7.6577e+06 177509
15100 7397  8.12553 28119.4   -7.6611e+06 177586
15200 7400  8.12553 28165.4   -7.66714e+06 177764
15300 7402  8.12553 28207.7   -7.66944e+06 177782
15400 7404  8.12553 28239.1   -7.67293e+06 177829
15500 7405  8.14254 28278.9   -7.67396e+06 177834
15600 7408  8.14254 28319.2   -7.67881e+06 177951
15700 7412  8.14254 28361.9   -7.68509e+06 178056
15800 7414  8.14254 28404.9   -7.68731e+06 178061
15900 7417  8.14254 28443.6   -7.69196e+06 178071
16000 7420  8.1621 28481.3   -7.69528e+06 178104
16100 7420  8.1621 28515.1   -7.69528e+06 178104
16200 7424  8.1621 28550.1   -7.69896e+06 178244
16300 7429  8.1621 28585.8   -7.70457e+06 178339
16400 7430  8.20818 28625.3   -7.70606e+06 178330
16500 7433  8.20818 28662.7   -7.7085e+06 178404
16600 7436  8.20818 28702.8   -7.71205e+06 178435
16700 7441  8.20818 28744.4   -7.71994e+06 178487
16800 7443  8.20818 28781.8   -7.72251e+06 178557
16900 7446  8.20818 28823.2   -7.72629e+06 178563
17000 7447  8.20818 28866.1   -7.72737e+06 178572
17100 7449  8.20818 28911.5   -7.72965e+06 178586
17200 7453  8.20818 28947.8   -7.73393e+06 178640
17300 7455  8.20818 28986   -7.73568e+06 178676
17400 7456  8.20818 29015.4   -7.73729e+06 178657
17500 7458  8.27215 29054.7   -7.73896e+06 178706
17600 7459  8.27215 29084.2   -7.73998e+06 178709
17700 7459  8.27215 29120.1   -7.73998e+06 178709
17800 7459  8.27215 29152.2   -7.73998e+06 178709
17900 7462  8.27215 29191.6   -7.74256e+06 178788
18000 7463  8.27833 29220.6   -7.74361e+06 178789
18100 7465  8.27833 29256.4   -7.7456e+06 178801
18200 7470  8.27833 29291.9   -7.75293e+06 178913
18300 7473  8.27833 29328.6   -7.75718e+06 178946
