0 325  2.45176 31.7014   -105625 0
100 1958  4.20479 1776.36   -3.83376e+06 0
200 2425  4.20479 2853.55   -5.88062e+06 0
300 2743  4.76757 3751.31   -7.52405e+06 0
400 2940  5.11931 4582.14   -8.6436e+06 0
500 3112  5.25128 5358.52   -9.68454e+06 0
600 3245  5.48521 6042.36   -1.053e+07 0
700 3385  6.82256 6734.45   -1.14582e+07 0
800 3480  6.82256 7302.18   -1.21104e+07 0
900 3594  6.82256 7853.09   -1.29168e+07 0
1000 3667  6.82256 8330.68   -1.34469e+07 0
1100 3742  6.86331 8747.89   -1.40026e+07 0
1200 3828  7.10808 9161.39   -1.46536e+07 0
1300 3901  7.41167 9581.49   -1.52178e+07 0
1400 3957  7.41167 9970.17   -1.56578e+07 0
1500 4009  7.77622 10315.4   -1.60721e+07 0
1600 4056  7.77622 10602.1   -1.64511e+07 0
1700 4109  7.77622 10929.9   -1.68839e+07 0
1800 4156  7.77622 11231.7   -1.72723e+07 0
1900 4214  7.77622 11501.1   -1.77578e+07 0
2000 4264  7.77622 11788.8   -1.81817e+07 0
2100 4315  7.96465 12069.1   -1.86192e+07 0
2200 4358  7.96465 12326.1   -1.89922e+07 0
2300 4405  8.17913 12569.2   -1.9404e+07 0
2400 4458  8.39774 12828.1   -1.98738e+07 0
2500 4496  8.39774 13051.2   -2.0214e+07 0
2600 4529  8.39774 13257.4   -2.05118e+07 0
2700 4559  8.55679 13446.5   -2.07845e+07 0
2800 4593  8.55679 13652.6   -2.10956e+07 0
2900 4617  8.77207 13825.5   -2.13167e+07 0
3000 4662  8.77207 14014.5   -2.17342e+07 0
3100 4700  8.77207 14221.4   -2.209e+07 0
3200 4730  8.77207 14398.3   -2.23729e+07 0
3300 4750  8.77207 14582.9   -2.25625e+07 0
3400 4780  8.77207 14736.4   -2.28484e+07 0
3500 4820  8.77207 14900.8   -2.32324e+07 0
3600 4848  8.77207 15069.1   -2.35031e+07 0
3700 4880  8.77207 15230   -2.38144e+07 0
3800 4908  8.83583 15400.9   -2.40885e+07 0
3900 4937  8.83583 15587.9   -2.4374e+07 0
4000 4964  8.99916 15768.9   -2.46413e+07 0
4100 5002  9.20887 15910.1   -2.502e+07 0
4200 5023  9.20887 16054.9   -2.52305e+07 0
