0 425  2.0104 26.6953   -36111 1473.95
100 4766  3.47145 3086.52   -3.7859e+06 122903
200 5889  4.4457 5207.11   -5.21711e+06 147366
300 6457  4.4457 6897.92   -6.02295e+06 159182
400 6833  4.46956 8309.36   -6.58362e+06 166647
500 7080  4.5657 9568.27   -6.94409e+06 171195
600 7284  4.98112 10712.5   -7.25005e+06 175218
700 7441  5.33999 11726.4   -7.48336e+06 178302
800 7549  5.33999 12668.4   -7.64432e+06 180144
900 7664  5.42014 13576.7   -7.82799e+06 182075
1000 7750  5.42014 14437.9   -7.95906e+06 183277
1100 7826  5.5278 15224.7   -8.08479e+06 184870
1200 7882  6.96031 15946.5   -8.17813e+06 186118
1300 7946  7.33494 16671.2   -8.27224e+06 187081
1400 8000  7.33494 17326.2   -8.35404e+06 188058
1500 8051  7.33494 17943.7   -8.43123e+06 188958
1600 8095  7.33494 18542.8   -8.49742e+06 189582
1700 8132  7.33494 19106.3   -8.55116e+06 189934
1800 8161  7.33494 19690.2   -8.59399e+06 190205
1900 8193  7.42498 20221.8   -8.64177e+06 190642
2000 8220  7.42498 20797.4   -8.6818e+06 191074
2100 8246  7.42498 21306.9   -8.71921e+06 191490
2200 8264  7.42498 21851.4   -8.74469e+06 191841
2300 8289  7.42498 22362.9   -8.78552e+06 192171
2400 8312  7.42498 22881.2   -8.81891e+06 192516
2500 8328  7.42498 23331.9   -8.84218e+06 192912
2600 8347  7.42498 23789.2   -8.87433e+06 193244
2700 8365  7.42498 24269.9   -8.90259e+06 193359
2800 8383  7.42498 24735.7   -8.93249e+06 193697
2900 8409  7.42498 25207.1   -8.97454e+06 194036
3000 8421  7.72746 25606.1   -8.98944e+06 194224
3100 8430  7.8026 26044   -9.00344e+06 194320
3200 8448  8.28657 26481.3   -9.03385e+06 194732
3300 8462  8.30397 26918.3   -9.05386e+06 194896
3400 8482  8.48339 27343.8   -9.08715e+06 195202
3500 8498  8.54817 27759   -9.11595e+06 195654
3600 8508  8.70326 28181.1   -9.13282e+06 195885
3700 8520  8.96609 28564.7   -9.15433e+06 196081
3800 8527  8.96609 28937.7   -9.16394e+06 196153
3900 8533  8.96609 29306.9   -9.17197e+06 196255
4000 8547  8.99492 29682.9   -9.1937e+06 196469
4100 8562  9.1663 30049.4   -9.21625e+06 196658
4200 8570  9.36957 30389.2   -9.23008e+06 196786
4300 8581  9.42972 30734.6   -9.24912e+06 197056
4400 8589  9.43673 31041.3   -9.25972e+06 197154
4500 8592  9.43673 31333.5   -9.26336e+06 197185
4600 8601  9.51394 31612.3   -9.27765e+06 197188
4700 8613  9.51619 31910.9   -9.29547e+06 197349
4800 8621  9.66095 32191.3   -9.3068e+06 197422
4900 8627  9.66095 32445.1   -9.31602e+06 197405
5000 8630  9.66095 32695.2   -9.32099e+06 197493
5100 8636  9.66095 32981.2   -9.3321e+06 197547
5200 8645  10.0431 33252.2   -9.34525e+06 197701
5300 8654  10.0431 33496.8   -9.3613e+06 197981
5400 8657  10.0431 33703.5   -9.3663e+06 197999
5500 8662  10.0431 33934.3   -9.37501e+06 198127
5600 8668  10.1259 34170   -9.38443e+06 198168
5700 8673  10.1761 34404.4   -9.39152e+06 198365
5800 8679  10.1761 34613.3   -9.39895e+06 198413
5900 8684  10.1761 34826.3   -9.40661e+06 198467
6000 8688  10.1761 35080.7   -9.41253e+06 198504
6100 8696  10.1761 35288.3   -9.42413e+06 198615
6200 8701  10.1761 35491.3   -9.43069e+06 198784
6300 8702  10.1761 35700.5   -9.43165e+06 198794
6400 8710  10.1761 35918   -9.44235e+06 198906
6500 8714  10.1761 36109.5   -9.44773e+06 198913
6600 8716  10.1761 36289.9   -9.45101e+06 198926
6700 8719  10.2287 36490.1   -9.45708e+06 199025
6800 8721  10.2287 36667.2   -9.46087e+06 199066
6900 8725  10.2287 36826.6   -9.46757e+06 199140
7000 8731  10.2375 37011.2   -9.4772e+06 199207
7100 8737  10.2375 37193.4   -9.48757e+06 199327
7200 8740  10.2375 37350.5   -9.49245e+06 199344
7300 8744  10.2375 37477.9   -9.49785e+06 199384
7400 8748  10.2375 37636.4   -9.50338e+06 199371
7500 8749  10.2375 37781.7   -9.50508e+06 199364
7600 8753  10.2375 37919.1   -9.51138e+06 199465
7700 8758  10.2495 38058.1   -9.51972e+06 199485
7800 8761  10.2495 38204.2   -9.52332e+06 199502
7900 8766  10.2495 38348.3   -9.52938e+06 199570
8000 8767  10.2495 38487.6   -9.53066e+06 199564
8100 8768  10.2568 38623.9   -9.53145e+06 199585
8200 8769  10.2568 38784.6   -9.53225e+06 199603
8300 8770  10.3125 38917.6   -9.53391e+06 199636
8400 8772  10.3486 39053.7   -9.53554e+06 199679
8500 8773  10.4211 39181.7   -9.53611e+06 199718
8600 8776  10.4211 39309.9   -9.54039e+06 199715
8700 8778  10.5074 39437.6   -9.54273e+06 199740
8800 8780  10.5074 39565.1   -9.5456e+06 199775
8900 8783  10.5074 39674.9   -9.54928e+06 199790
9000 8786  10.5074 39793.4   -9.5539e+06 199783
9100 8791  10.5074 39923.2   -9.56078e+06 199897
9200 8792  10.6 40064.3   -9.56191e+06 199902
9300 8793  10.6 40183.8   -9.56504e+06 200051
9400 8797  10.7871 40312.5   -9.57039e+06 200116
9500 8802  10.7871 40440.5   -9.57948e+06 200165
9600 8803  10.7871 40543.2   -9.58035e+06 200186
9700 8806  10.7871 40666.3   -9.5855e+06 200263
9800 8810  10.7871 40780.6   -9.59246e+06 200392
9900 8811  10.8589 40891   -9.59428e+06 200391
10000 8813  10.8589 41011.9   -9.59683e+06 200423
10100 8815  10.8818 41123.2   -9.60073e+06 200477
10200 8825  11.7004 41244.1   -9.61895e+06 200659
10300 8826  11.7004 41373.3   -9.6206e+06 200652
10400 8829  11.7004 41486.7   -9.62491e+06 200674
10500 8835  11.7004 41591.1   -9.6329e+06 200802
10600 8836  11.7004 41699.2   -9.63442e+06 200798
10700 8839  11.8105 41820.5   -9.63915e+06 200843
10800 8840  11.8105 41915.6   -9.64006e+06 200854
10900 8840  11.8105 42034.5   -9.64006e+06 200854
11000 8842  11.8105 42126.2   -9.64343e+06 200904
11100 8847  11.8379 42222.6   -9.64956e+06 200975
11200 8850  11.8379 42317.3   -9.6546e+06 201007
11300 8851  12.221 42416.6   -9.6557e+06 201011
11400 8852  12.4189 42507.4   -9.65774e+06 201039
11500 8856  12.4189 42594.4   -9.66273e+06 201041
11600 8858  12.4189 42695.5   -9.66756e+06 201182
11700 8859  12.4189 42794.5   -9.66924e+06 201219
11800 8863  12.4189 42889.8   -9.67526e+06 201337
11900 8866  12.4189 42985.3   -9.67983e+06 201396
12000 8869  12.4402 43053.4   -9.68412e+06 201430
12100 8870  12.4522 43141.1   -9.68599e+06 201426
12200 8872  12.4522 43228.5   -9.68993e+06 201510
12300 8873  12.4522 43329.6   -9.6916e+06 201525
12400 8876  12.4522 43415.9   -9.69409e+06 201586
12500 8879  12.4522 43501.8   -9.69829e+06 201576
12600 8883  12.4522 43586.2   -9.70349e+06 201647
12700 8884  12.4522 43666.4   -9.70605e+06 201716
12800 8888  12.4522 43750.5   -9.71139e+06 201819
12900 8891  12.4522 43844.2   -9.71463e+06 201930
13000 8891  12.7559 43926.9   -9.71463e+06 201930
13100 8892  12.7559 44010   -9.71583e+06 201934
13200 8893  12.7559 44088.9   -9.71686e+06 201940
13300 8895  12.7559 44171.2   -9.7188e+06 201965
13400 8896  12.7559 44264.9   -9.72051e+06 201962
13500 8896  12.7559 44362.3   -9.72051e+06 201962
13600 8896  12.7559 44440.7   -9.72051e+06 201962
13700 8897  12.7559 44512.2   -9.72243e+06 202003
13800 8898  12.7559 44612.5   -9.72479e+06 202068
13900 8898  12.7559 44699.4   -9.72479e+06 202068
14000 8899  12.7559 44771.5   -9.72627e+06 202066
14100 8899  12.7559 44840.9   -9.72627e+06 202066
14200 8901  12.7559 44919.5   -9.72872e+06 202074
14300 8904  12.7559 44997.6   -9.73265e+06 202105
14400 8906  12.7559 45077.4   -9.73645e+06 202147
14500 8907  12.7559 45153.8   -9.73804e+06 202167
14600 8908  12.7559 45238.6   -9.74035e+06 202193
14700 8909  12.7559 45313.3   -9.74157e+06 202192
14800 8911  12.7559 45375.2   -9.74535e+06 202255
14900 8912  12.7559 45446.5   -9.74657e+06 202260
15000 8913  12.7559 45511.5   -9.74806e+06 202256
15100 8916  12.7559 45585.3   -9.75372e+06 202353
15200 8917  12.7559 45646.2   -9.75593e+06 202410
15300 8917  12.7559 45717.8   -9.75593e+06 202410
15400 8918  12.7559 45790.3   -9.7576e+06 202411
15500 8919  12.7559 45870.9   -9.7599e+06 202423
15600 8920  12.7559 45939.9   -9.76111e+06 202440
15700 8921  12.7559 46018.4   -9.76191e+06 202462
15800 8921  12.7559 46079.5   -9.76191e+06 202462
15900 8923  12.7559 46145.8   -9.76592e+06 202522
16000 8924  12.7559 46206.5   -9.76665e+06 202551
16100 8925  12.7559 46281.5   -9.76831e+06 202552
16200 8925  12.7559 46343.5   -9.76831e+06 202552
16300 8926  12.7559 46417.2   -9.77075e+06 202607
16400 8926  12.7559 46475.3   -9.77075e+06 202607
16500 8928  12.7559 46528.4   -9.77356e+06 202660
16600 8929  12.7559 46600.4   -9.77497e+06 202653
16700 8930  12.7559 46678.9   -9.77713e+06 202704
16800 8932  12.7559 46741.1   -9.78122e+06 202804
16900 8934  12.7559 46800.9   -9.78348e+06 202807
17000 8934  12.8161 46846.1   -9.78348e+06 202807
17100 8935  12.8161 46892.5   -9.78516e+06 202830
17200 8936  12.8161 46953.2   -9.78667e+06 202830
17300 8937  12.8161 47025.4   -9.78827e+06 202851
17400 8939  12.8161 47080.8   -9.7913e+06 202863
17500 8939  12.8161 47141.8   -9.7913e+06 202863
17600 8939  12.8161 47202.4   -9.7913e+06 202863
17700 8940  12.8161 47250.6   -9.79297e+06 202880
17800 8940  12.8161 47306.3   -9.79297e+06 202880
17900 8942  12.8161 47358.9   -9.79599e+06 202874
18000 8943  12.8161 47397.5   -9.79746e+06 202871
18100 8944  12.8161 47453.2   -9.79892e+06 202864
18200 8944  12.8161 47498.8   -9.79892e+06 202864
18300 8945  12.8161 47551.3   -9.8004e+06 202871
18400 8946  12.8161 47592.3   -9.80254e+06 202923
18500 8946  12.8161 47642   -9.80254e+06 202923
18600 8946  12.8161 47697.3   -9.80254e+06 202923
18700 8947  12.8161 47752.1   -9.80425e+06 202946
18800 8947  12.8161 47805.1   -9.80425e+06 202946
18900 8947  12.8161 47850.1   -9.80425e+06 202946
19000 8947  12.8161 47897.4   -9.80425e+06 202946
19100 8949  12.8161 47952   -9.80839e+06 203025
19200 8951  12.8161 48010.1   -9.81124e+06 203027
19300 8952  12.8161 48052.2   -9.81304e+06 203019
19400 8954  12.8161 48101   -9.81594e+06 203072
19500 8954  12.8161 48148.2   -9.81594e+06 203072
19600 8954  12.9093 48210.9   -9.81594e+06 203072
19700 8954  12.9093 48246.2   -9.81594e+06 203072
19800 8955  12.9093 48293.7   -9.81822e+06 203084
19900 8955  12.9783 48340.5   -9.81822e+06 203084
20000 8958  12.9783 48382.5   -9.82243e+06 203129
20100 8958  12.9783 48438.4   -9.82243e+06 203129
20200 8961  12.9783 48474.2   -9.82764e+06 203211
20300 8962  12.9783 48529.6   -9.82937e+06 203227
20400 8962  13.1393 48576.4   -9.82937e+06 203227
20500 8962  13.1393 48622.3   -9.82937e+06 203227
20600 8962  13.1393 48663.7   -9.82937e+06 203227
20700 8963  13.1808 48711.8   -9.8306e+06 203230
20800 8964  13.1808 48759.8   -9.8322e+06 203259
20900 8966  13.1808 48814.9   -9.83453e+06 203285
21000 8968  13.1808 48862.8   -9.83855e+06 203380
21100 8968  13.1808 48909.3   -9.83855e+06 203380
21200 8969  13.418 48951.3   -9.83918e+06 203414
21300 8970  13.418 49018   -9.84139e+06 203472
21400 8970  13.418 49050.3   -9.84139e+06 203472
21500 8970  13.418 49095.5   -9.84139e+06 203472
21600 8971  13.418 49132.5   -9.84189e+06 203517
21700 8972  13.418 49187.1   -9.8426e+06 203545
21800 8973  13.418 49227.6   -9.84406e+06 203538
21900 8974  13.418 49261.8   -9.84461e+06 203579
22000 8975  13.418 49300.2   -9.84678e+06 203619
22100 8976  13.418 49334.6   -9.84798e+06 203637
22200 8977  13.418 49376.8   -9.84933e+06 203637
22300 8979  13.418 49419.1   -9.85244e+06 203657
22400 8982  13.418 49468.9   -9.85812e+06 203713
22500 8983  13.418 49513.6   -9.85903e+06 203725
22600 8983  13.418 49546.7   -9.85903e+06 203725
22700 8985  13.418 49581   -9.86259e+06 203740
22800 8985  13.418 49631.9   -9.86259e+06 203740
22900 8985  13.418 49665.3   -9.86259e+06 203740
23000 8985  13.418 49715   -9.86259e+06 203740
23100 8986  13.418 49749.7   -9.86378e+06 203743
23200 8986  13.418 49786.1   -9.86378e+06 203743
23300 8986  13.418 49821   -9.86378e+06 203743
23400 8987  13.418 49865   -9.8656e+06 203725
23500 8987  13.418 49894   -9.8656e+06 203725
23600 8988  13.418 49938.5   -9.86695e+06 203741
23700 8988  13.418 49972.6   -9.86695e+06 203741
23800 8988  13.418 50016.3   -9.86695e+06 203741
23900 8989  13.418 50057   -9.86898e+06 203774
24000 8989  13.418 50091   -9.86898e+06 203774
24100 8992  13.418 50122.7   -9.87372e+06 203849
24200 8993  13.418 50168.5   -9.87472e+06 203861
24300 8996  13.418 50218   -9.88084e+06 203917
24400 8998  13.418 50253.7   -9.88453e+06 203956
24500 8999  13.418 50287.3   -9.88595e+06 203949
24600 9001  13.418 50331.4   -9.88937e+06 203978
24700 9001  13.418 50367.7   -9.88937e+06 203978
24800 9002  13.418 50406   -9.89211e+06 204077
24900 9003  13.418 50444   -9.89284e+06 204102
25000 9003  13.418 50474.5   -9.89284e+06 204102
25100 9003  13.418 50505.3   -9.89284e+06 204102
25200 9004  13.418 50541.8   -9.89404e+06 204103
25300 9005  13.418 50580.8   -9.8956e+06 204121
25400 9005  13.418 50606.4   -9.8956e+06 204121
25500 9005  13.418 50648.2   -9.8956e+06 204121
25600 9006  13.418 50673.9   -9.89636e+06 204144
25700 9006  13.4476 50706.4   -9.89636e+06 204144
25800 9006  13.4476 50739.6   -9.89636e+06 204144
25900 9008  13.4476 50796.2   -9.89979e+06 204185
26000 9009  13.4476 50831   -9.90201e+06 204185
26100 9009  13.4476 50855   -9.90201e+06 204185
26200 9010  13.4476 50888.3   -9.90489e+06 204287
26300 9011  13.4476 50911.4   -9.90708e+06 204340
26400 9012  13.4476 50940.5   -9.908e+06 204352
26500 9013  13.4476 50965.2   -9.90997e+06 204369
26600 9013  13.4476 50990.2   -9.90997e+06 204369
26700 9013  13.4476 51023.2   -9.90997e+06 204369
26800 9014  13.4476 51057.1   -9.91124e+06 204390
26900 9016  13.4476 51100.3   -9.91341e+06 204404
27000 9016  13.4476 51124.9   -9.91341e+06 204404
27100 9016  13.4476 51159.4   -9.91341e+06 204404
27200 9016  13.4476 51182   -9.91341e+06 204404
27300 9017  13.4476 51214   -9.91467e+06 204427
27400 9017  13.4476 51237   -9.91467e+06 204427
27500 9017  13.4476 51264.3   -9.91467e+06 204427
27600 9017  13.4476 51284.1   -9.91467e+06 204427
