0 398  1.549 -1.60022   -30412 1495.64
100 4806  3.1599 2781.17   -3.9436e+06 126350
200 5999  3.69708 5230.72   -5.54026e+06 149483
300 6563  4.16727 7160.87   -6.34436e+06 159579
400 6906  4.49513 8783.95   -6.85765e+06 166470
500 7127  4.49513 10126.3   -7.17796e+06 170779
600 7319  4.6806 11401.6   -7.45519e+06 173825
700 7458  4.6806 12534.9   -7.64942e+06 176892
800 7565  4.93109 13586.1   -7.79928e+06 179114
900 7647  4.93109 14507.8   -7.91356e+06 180695
1000 7738  5.45296 15377.7   -8.03054e+06 182571
1100 7811  5.45296 16130.8   -8.12692e+06 183985
1200 7881  5.4555 16865.9   -8.22592e+06 185075
1300 7932  5.57366 17543.4   -8.30289e+06 186186
1400 7986  6.22939 18214.7   -8.37145e+06 186985
1500 8036  6.22939 18816.5   -8.4427e+06 187871
1600 8086  6.22939 19380   -8.51392e+06 188790
1700 8140  6.22939 19930.3   -8.58756e+06 189619
1800 8194  6.27647 20443.7   -8.66368e+06 190498
1900 8231  6.27647 20945.7   -8.7116e+06 190981
2000 8265  6.39838 21461   -8.75803e+06 191531
2100 8304  6.39838 21966.7   -8.814e+06 191955
2200 8329  6.95019 22436.4   -8.85202e+06 192468
2300 8361  6.95019 22878.1   -8.89816e+06 193250
2400 8389  6.95019 23297.9   -8.9392e+06 193721
2500 8420  6.95019 23748.2   -8.98433e+06 194298
2600 8447  7.12747 24175.7   -9.02412e+06 194604
2700 8466  7.12747 24588.3   -9.0476e+06 194967
2800 8497  7.12747 24984.3   -9.093e+06 195277
2900 8515  7.12747 25341.6   -9.11842e+06 195537
3000 8528  7.34922 25680.7   -9.13671e+06 195839
3100 8547  7.34922 26039.1   -9.1642e+06 196110
3200 8559  7.34922 26406.7   -9.18357e+06 196388
3300 8573  7.34922 26763.8   -9.20095e+06 196540
3400 8586  7.69475 27086   -9.21663e+06 196757
3500 8595  7.69475 27434.6   -9.23503e+06 197041
3600 8611  7.69475 27763.2   -9.25951e+06 197182
3700 8626  7.69475 28098.1   -9.28196e+06 197458
3800 8643  7.69475 28403.8   -9.30579e+06 197685
3900 8661  7.69475 28702.2   -9.33199e+06 197850
4000 8673  7.96904 28987.9   -9.35172e+06 198059
4100 8685  7.96904 29278.2   -9.37236e+06 198173
4200 8693  7.96904 29555.1   -9.38558e+06 198306
4300 8702  7.96904 29845.7   -9.39872e+06 198436
4400 8714  7.96904 30093.2   -9.41514e+06 198657
4500 8726  7.96904 30359   -9.43316e+06 198891
4600 8732  7.96904 30611.6   -9.44147e+06 198903
